response_group,lower_cutoff,upper_cutoff,model,n,pearson_r,spearman_rho,rmse,mae,mean_error_pred_minus_obs
lowest_response_decile,-2.26357225058,0.905817310495,Mean baseline,56,-0.1115032598447778,-0.14354544815625409,2.310486908367903,2.2484361699069804,2.2484361699069804
lowest_response_decile,-2.26357225058,0.905817310495,Elastic Net,56,-0.07902354922926325,-0.04559125085440875,1.8495282628406475,1.6611480647878571,1.6573562849367858
lowest_response_decile,-2.26357225058,0.905817310495,Random forest,56,-0.10627837172278178,-0.018181818181818184,1.9062701441800514,1.7733778307772687,1.7733778307772687
middle_80_percent,-2.26357225058,0.905817310495,Mean baseline,439,-0.04826908201932746,-0.051184951161147525,0.8537294663513911,0.7273255117494943,-0.04074390144982798
middle_80_percent,-2.26357225058,0.905817310495,Elastic Net,439,0.5219428225066887,0.5148795660918482,0.7692560984796804,0.6204235135626603,-0.04081210105278936
middle_80_percent,-2.26357225058,0.905817310495,Random forest,439,0.5024634378257173,0.4980674690865972,0.7474412100756983,0.6127575815650115,-0.04605758232787948
highest_response_decile,-2.26357225058,0.905817310495,Mean baseline,56,0.009982471898517559,-0.006942835538950558,1.9547488210146036,1.9279670330820748,-1.9279670330820748
highest_response_decile,-2.26357225058,0.905817310495,Elastic Net,56,0.0741765259922667,-0.06384142173615857,1.525117178917179,1.419610685922,-1.419610685922
highest_response_decile,-2.26357225058,0.905817310495,Random forest,56,0.12544696968950364,0.09904306220095693,1.6465354103147032,1.5851451030189234,-1.5851451030189234
