dataset,source_file,total_rows_in_file,trametinib_rows,unique_cell_lines,unique_sanger_model_ids,missing_sanger_model_ids,duplicate_extra_rows,missing_ln_ic50,ln_ic50_min,ln_ic50_median,ln_ic50_max,missing_auc,auc_min,auc_median,auc_max
GDSC1,GDSC1_fitted_dose_response_27Oct23.xlsx,333161,881,881,881,0,0,0,-7.13522,-0.656583,3.856973,0,0.014344,0.796556,0.997221
GDSC2,GDSC2_fitted_dose_response_27Oct23.xlsx,242036,966,966,966,0,0,0,-8.554725,0.5408934999999999,6.71905,0,0.010009,0.896712,0.99662
