dataset,trametinib_response_models,matched_expression_models,unmatched_expression_models,expression_coverage_percent,matched_sanger_expression_models,matched_broad_expression_models
GDSC1,881,859,22,97.5,362,497
GDSC2,966,941,25,97.41,396,545
